date,y,proba_cv
2021-08-23,1,0.4651621188145089
2021-08-24,1,0.4630476219992536
2021-08-25,0,0.43477790758175083
2021-08-26,1,0.471829488017508
2021-08-27,1,0.4595390025729335
2021-08-30,0,0.46469701552751347
2021-08-31,1,0.45912618380339265
2021-09-01,0,0.4200492981684122
2021-09-02,1,0.44390458554023093
2021-09-03,1,0.46360419003299796
2021-09-07,0,0.40356064108455564
2021-09-08,0,0.45621306664505884
2021-09-09,0,0.4726101844412992
2021-09-10,1,0.4717911062143397
2021-09-13,0,0.43543184421995507
2021-09-14,1,0.4742035217773426
2021-09-15,1,0.44068971856361194
2021-09-16,0,0.45973171428293236
2021-09-17,0,0.46342614252830977
2021-09-20,1,0.48237074381465433
2021-09-21,1,0.4282744573169319
2021-09-22,1,0.48726385994633686
2021-09-23,0,0.4919411731526447
2021-09-24,0,0.5558871823837798
2021-09-27,0,0.527794912865638
2021-09-28,1,0.6212832518786006
2021-09-29,0,0.5103568304707246
2021-09-30,1,0.6204080042368781
2021-10-01,0,0.49497885359777466
2021-10-04,1,0.5872953271527277
2021-10-05,1,0.43215068521748556
2021-10-06,1,0.5036681641123905
2021-10-07,0,0.47880437974275347
2021-10-08,0,0.5821098501114967
2021-10-12,1,0.5748082352327781
2021-10-13,1,0.4809564300147804
2021-10-14,1,0.48827766648694443
2021-10-15,1,0.4972201889264621
2021-10-18,1,0.5416803299880435
2021-10-19,1,0.48788168801958287
2021-10-20,1,0.5424687211475288
2021-10-21,0,0.5406834308826357
2021-10-22,1,0.57752477494458
2021-10-25,1,0.5227542944508435
2021-10-26,0,0.5203411514327727
2021-10-27,1,0.6102390872842796
2021-10-28,0,0.5047176823413778
2021-10-29,1,0.562886394174014
2021-11-01,1,0.5133255619357454
2021-11-02,1,0.5673217644471292
2021-11-03,1,0.5123976546579982
2021-11-04,1,0.5248529937796049
2021-11-05,1,0.5315904101173745
2021-11-08,0,0.5599876162911042
2021-11-09,0,0.5790107014301716
2021-11-10,1,0.5753273953493412
2021-11-11,1,0.4952814555417896
2021-11-12,0,0.5102276807210202
2021-11-15,1,0.5651354184188581
2021-11-16,0,0.5015928967620246
2021-11-17,1,0.5082760650429422
2021-11-18,0,0.5162388095508359
2021-11-19,0,0.5529078806461927
2021-11-22,0,0.5208459091453352
2021-11-23,1,0.5197828548218962
2021-11-24,1,0.47966458984437876
2021-11-25,0,0.48262686502276647
2021-11-26,1,0.62434415502773
2021-11-29,0,0.4750975053185672
2021-11-30,0,0.5844633817342421
2021-12-01,1,0.5520388469628579
2021-12-02,0,0.42902855625142455
2021-12-03,1,0.5055356802727535
2021-12-06,1,0.44095277525621135
2021-12-07,1,0.41159293514973605
2021-12-08,0,0.4982841149908463
2021-12-09,1,0.5783909626373996
2021-12-10,0,0.4886688849918967
2021-12-13,0,0.5716082573468583
2021-12-14,1,0.5601514656747999
2021-12-15,0,0.43945423385620164
2021-12-16,0,0.5749030906881105
2021-12-17,0,0.5206351495749645
2021-12-20,1,0.5431176416488163
2021-12-21,1,0.43312989728343143
2021-12-22,1,0.49978528753868323
2021-12-23,1,0.4962530586019623
2021-12-24,1,0.5136344331692588
2021-12-29,0,0.5205980932204304
2021-12-30,0,0.6621285112815284
2021-12-31,1,0.6279991880179808
2022-01-04,0,0.4836940932438857
2022-01-05,0,0.6133275711739978
2022-01-06,0,0.5434685421899558
2022-01-07,0,0.5312601657870132
2022-01-10,1,0.4881077968382449
2022-01-11,1,0.4904207837606378
2022-01-12,0,0.5198729617413813
2022-01-13,1,0.592780810255891
2022-01-14,1,0.4745415653650109
2022-01-17,0,0.42680704425634736
2022-01-18,0,0.6813062383297332
2022-01-19,0,0.5431201770637676
2022-01-20,0,0.5217696799189192
2022-01-21,1,0.5449725564023026
2022-01-24,0,0.47519511510918344
2022-01-25,1,0.5133014305238947
2022-01-26,0,0.47399014085392377
2022-01-27,1,0.49203673564908307
2022-01-28,1,0.4055603931268438
2022-01-31,1,0.46035471720331167
2022-02-01,1,0.48476676125403767
2022-02-02,0,0.5392909826485057
2022-02-03,1,0.6600885853803578
2022-02-04,0,0.5069559345157264
2022-02-07,1,0.6333410090166646
2022-02-08,1,0.5219491041858696
2022-02-09,0,0.5158284703909797
2022-02-10,0,0.611139933919806
2022-02-11,0,0.6483599186400227
2022-02-14,1,0.5992429672589012
2022-02-15,0,0.5112842136805789
2022-02-16,0,0.6397741342294075
2022-02-17,0,0.664697391448955
2022-02-18,0,0.5731725986952245
2022-02-22,0,0.5665124441427746
2022-02-23,1,0.5993093175770078
2022-02-24,1,0.4737180407341179
2022-02-25,0,0.4350528723731268
2022-02-28,0,0.5498197261598893
2022-03-01,1,0.5883015425054952
2022-03-02,0,0.4491957584270344
2022-03-03,0,0.5865304833544599
2022-03-04,0,0.5953432688871714
2022-03-07,1,0.6374706102061343
2022-03-08,1,0.47018173233342825
2022-03-09,0,0.37162700732509135
2022-03-10,0,0.5735202618851584
2022-03-11,0,0.6192649952587213
2022-03-14,1,0.5147345153696309
2022-03-15,1,0.45614914504246457
2022-03-16,1,0.47440555782342697
2022-03-17,1,0.5681788400824291
2022-03-18,0,0.5428031597842004
2022-03-21,1,0.5665994130072872
2022-03-22,0,0.5364589084982272
2022-03-23,1,0.7079024399295194
2022-03-24,0,0.6001340841966596
2022-03-25,1,0.6265101241640192
2022-03-28,1,0.5299001098329422
2022-03-29,0,0.5085218249125305
2022-03-30,0,0.6276214737668381
2022-03-31,1,0.6288781720613239
2022-04-01,1,0.5277105531878942
2022-04-04,0,0.5398079881439853
2022-04-05,0,0.6615771060421582
2022-04-06,1,0.5845174608418313
2022-04-07,0,0.5004564760170264
2022-04-08,0,0.5428672762144907
2022-04-11,0,0.5863853904167952
2022-04-12,1,0.5504976733259497
2022-04-13,0,0.4823655752552585
2022-04-14,0,0.5401724947830129
2022-04-18,1,0.5323177239743337
2022-04-19,0,0.46661992694307386
2022-04-20,0,0.5498142996401824
2022-04-21,0,0.5817573358840258
2022-04-22,0,0.5903545112431815
2022-04-25,0,0.49662313717261974
2022-04-26,1,0.61697908744607
2022-04-27,1,0.47480110754956717
2022-04-28,0,0.39498472934182693
2022-04-29,1,0.6108133481857541
2022-05-02,1,0.47003278115618696
2022-05-03,1,0.48850218790639793
2022-05-04,0,0.42616412092079364
2022-05-05,0,0.7171930502764772
2022-05-06,0,0.5386003145926623
2022-05-09,1,0.6468965878712658
2022-05-10,0,0.45770775842031397
2022-05-11,1,0.5814512771318568
2022-05-12,1,0.49520448035640036
2022-05-13,0,0.3741848836505934
2022-05-16,1,0.5110282286261149
2022-05-17,0,0.43442015833773784
2022-05-18,0,0.7062207095532341
2022-05-19,1,0.5332759009076736
2022-05-20,1,0.5425012591345285
2022-05-24,1,0.4854042780335908
2022-05-25,1,0.53716268354148
2022-05-26,1,0.43816958348292673
2022-05-27,1,0.4750224559421662
2022-05-30,0,0.5430583393270892
2022-05-31,0,0.7025736441578769
2022-06-01,1,0.6593090145484238
2022-06-02,0,0.5292689684759136
2022-06-03,1,0.6518554738149129
2022-06-06,1,0.5810809899546144
2022-06-07,0,0.5486904600159502
2022-06-08,0,0.6041529696950199
2022-06-09,0,0.6480253479768944
2022-06-10,0,0.645254599305213
2022-06-13,0,0.6792696517026174
2022-06-14,1,0.5037207332648764
2022-06-15,0,0.4119765473694191
